,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,y_true,y_predict,y_proba,y_proba_predict,Igual y_pred,Igual y_proba
0,0,6,4,3,1169,4,4,4,2,0,4,0,67,2,1,2,2,1,1,0,1,1,0.731058373,1,VERDADERO,VERDADERO
1,1,48,2,3,5951,0,2,2,1,0,2,0,22,2,1,1,2,1,0,0,0,0,0.500000205,0,VERDADERO,VERDADERO
2,3,12,4,6,2096,0,3,2,2,0,3,0,49,2,1,1,1,2,0,0,1,1,0.731058509,1,VERDADERO,VERDADERO
3,0,42,2,2,7882,0,3,2,2,2,4,1,45,2,2,1,2,2,0,0,1,1,0.731058436,1,VERDADERO,VERDADERO
4,0,24,3,0,4870,0,2,3,2,0,4,3,53,2,2,2,2,2,0,0,0,0,0.500000301,0,VERDADERO,VERDADERO
5,3,36,2,6,9055,4,2,2,2,0,4,3,35,2,2,1,1,2,1,0,1,1,0.731058545,1,VERDADERO,VERDADERO
6,3,24,2,2,2835,2,4,3,2,0,4,1,53,2,1,1,2,1,0,0,1,1,0.731058449,1,VERDADERO,VERDADERO
7,1,36,2,1,6948,0,2,2,2,0,2,2,35,2,0,1,3,1,1,0,1,1,0.731058593,1,VERDADERO,VERDADERO
8,3,12,2,3,3059,3,3,2,0,0,4,0,61,2,1,1,1,1,0,0,1,1,0.731058581,1,VERDADERO,VERDADERO
9,1,30,4,0,5234,0,0,4,3,0,2,2,28,2,1,2,3,1,0,0,0,0,0.500000215,0,VERDADERO,VERDADERO
10,1,12,2,0,1295,0,1,3,1,0,1,2,25,2,0,1,2,1,0,0,0,0,0.50000036,0,VERDADERO,VERDADERO
11,0,48,2,9,4308,0,1,3,1,0,4,1,24,2,0,1,2,1,0,0,0,1,0.664108941,1,FALSO,FALSO
12,1,12,2,3,1567,0,2,1,1,0,1,2,22,2,1,1,2,1,1,0,1,1,0.731058489,1,VERDADERO,VERDADERO
13,0,24,4,0,1199,0,4,4,2,0,4,2,60,2,1,2,1,1,0,0,0,0,0.500000189,0,VERDADERO,VERDADERO
14,0,15,2,0,1403,0,2,2,1,0,4,2,28,2,0,1,2,1,0,0,1,1,0.731058413,1,VERDADERO,VERDADERO
15,0,24,2,3,1282,1,2,4,1,0,2,2,32,2,1,1,1,1,0,0,0,0,0.500000054,0,VERDADERO,VERDADERO
16,3,24,4,3,2424,4,4,4,2,0,4,1,53,2,1,2,2,1,0,0,1,1,0.654078509,1,VERDADERO,VERDADERO
17,0,30,0,9,8072,4,1,2,2,0,3,2,25,0,1,3,2,1,0,0,1,1,0.731058551,1,VERDADERO,VERDADERO
18,1,24,2,1,12579,0,4,4,1,0,2,3,44,2,2,1,3,1,1,0,0,0,0.500000204,0,VERDADERO,VERDADERO
19,3,24,2,3,3430,2,4,3,2,0,2,2,31,2,1,1,2,2,1,0,1,1,0.73105848,1,VERDADERO,VERDADERO
20,3,9,4,0,2134,0,2,4,2,0,4,2,48,2,1,3,2,1,1,0,1,1,0.687100202,1,VERDADERO,VERDADERO
21,0,6,2,3,2647,2,2,2,2,0,3,0,44,2,0,1,2,2,0,0,1,1,0.696051064,1,VERDADERO,VERDADERO
22,0,10,4,0,2241,0,1,1,2,0,3,0,48,2,0,2,1,2,0,1,1,1,0.731058552,1,VERDADERO,VERDADERO
23,1,12,4,1,1804,1,1,3,2,0,4,1,44,2,1,1,2,1,0,0,1,1,0.731058509,1,VERDADERO,VERDADERO
24,3,10,4,2,2069,4,2,2,3,0,1,2,26,2,1,2,2,1,0,1,1,1,0.731058437,1,VERDADERO,VERDADERO
25,0,6,2,2,1374,0,2,1,2,0,2,0,36,0,1,1,1,1,1,0,1,1,0.731058587,1,VERDADERO,VERDADERO
26,3,6,0,3,426,0,4,4,3,0,4,2,39,2,1,1,1,1,0,0,1,1,0.731058534,1,VERDADERO,VERDADERO
27,2,12,1,3,409,3,2,3,1,0,3,0,42,2,0,2,2,1,0,0,1,0,0.62221527,1,FALSO,VERDADERO
28,1,7,2,3,2415,0,2,3,2,2,2,0,34,2,1,1,2,1,0,0,1,1,0.731058449,1,VERDADERO,VERDADERO
29,0,60,3,9,6836,0,4,3,2,0,4,3,63,2,1,2,2,1,1,0,0,0,0.500000171,0,VERDADERO,VERDADERO
30,1,18,2,9,1913,3,1,3,3,0,3,0,36,0,1,1,2,1,1,0,1,1,0.731058434,1,VERDADERO,VERDADERO
31,0,24,2,2,4020,0,2,2,2,0,2,2,27,1,1,1,2,1,0,0,1,1,0.731058411,1,VERDADERO,VERDADERO
32,1,18,2,0,5866,1,2,2,2,0,2,2,30,2,1,2,2,1,1,0,1,1,0.731058566,1,VERDADERO,VERDADERO
33,3,12,4,9,1264,4,4,4,2,0,4,3,57,2,0,1,1,1,0,0,1,1,0.731058532,1,VERDADERO,VERDADERO
34,2,12,2,2,1474,0,1,4,1,0,1,1,33,0,1,1,3,1,1,0,1,1,0.731058475,1,VERDADERO,VERDADERO
35,1,45,4,3,4746,0,1,4,2,0,2,1,25,2,1,2,1,1,0,0,0,0,0.500000163,0,VERDADERO,VERDADERO
36,3,48,4,6,6110,0,2,1,2,0,3,3,31,0,2,1,2,1,1,0,1,1,0.731058563,1,VERDADERO,VERDADERO
37,2,18,2,3,2100,0,2,4,2,1,2,0,37,1,1,1,2,1,0,0,0,1,0.698339117,1,FALSO,FALSO
38,2,10,2,4,1225,0,2,2,2,0,2,2,37,2,1,1,2,1,1,0,1,1,0.731058549,1,VERDADERO,VERDADERO
39,1,9,2,3,458,0,2,4,2,0,3,0,24,2,1,1,2,1,0,0,1,1,0.731058466,1,VERDADERO,VERDADERO
40,3,30,2,3,2333,2,4,4,2,0,2,2,30,0,1,1,3,1,0,0,1,1,0.731058466,1,VERDADERO,VERDADERO
41,1,12,2,3,1158,2,2,3,0,0,1,2,26,2,1,1,2,1,1,0,1,1,0.731058454,1,VERDADERO,VERDADERO
42,1,18,3,5,6204,0,2,2,2,0,4,0,44,2,1,1,1,2,1,0,1,1,0.731058536,1,VERDADERO,VERDADERO
43,0,30,4,1,6187,1,3,1,3,0,4,2,24,2,0,2,2,1,0,0,1,1,0.731058458,1,VERDADERO,VERDADERO
44,0,48,4,1,6143,0,4,4,1,0,4,3,58,1,2,2,1,1,0,0,0,0,0.500000218,0,VERDADERO,VERDADERO
45,3,11,4,0,1393,0,1,4,1,0,4,2,35,2,1,2,3,1,0,0,1,1,0.731058506,1,VERDADERO,VERDADERO
46,3,36,2,3,2299,2,4,4,2,0,4,2,39,2,1,1,2,1,0,0,1,1,0.731058414,1,VERDADERO,VERDADERO
47,0,6,2,1,1352,2,0,1,1,0,2,1,23,2,0,1,0,1,1,0,1,1,0.731058385,1,VERDADERO,VERDADERO
48,3,11,4,0,7228,0,2,1,2,0,4,1,39,2,1,2,1,1,0,0,1,1,0.731058508,1,VERDADERO,VERDADERO
49,3,12,2,3,2073,1,2,4,1,1,2,0,28,2,1,1,2,1,0,0,1,1,0.731058563,1,VERDADERO,VERDADERO
50,1,24,3,2,2333,4,1,4,2,0,2,1,29,0,1,1,1,1,0,0,1,1,0.731058552,1,VERDADERO,VERDADERO
51,1,27,3,1,5965,0,4,1,2,0,2,2,30,2,1,2,3,1,1,0,1,1,0.731058476,1,VERDADERO,VERDADERO
52,3,12,2,3,1262,0,2,3,2,0,2,2,25,2,1,1,2,1,0,0,1,1,0.768796512,1,VERDADERO,VERDADERO
53,3,18,2,1,3378,4,2,2,2,0,1,1,31,2,1,1,2,1,1,0,1,1,0.731058437,1,VERDADERO,VERDADERO
54,1,36,3,0,2225,0,4,4,2,0,4,3,57,0,2,2,2,1,1,0,0,0,0.500000415,0,VERDADERO,VERDADERO
55,3,6,1,0,783,4,2,1,2,2,2,0,26,1,1,1,1,2,0,0,1,1,0.696127384,1,VERDADERO,VERDADERO
56,1,12,2,3,6468,4,0,2,2,0,1,3,52,2,1,1,3,1,1,0,0,1,0.693114919,1,FALSO,FALSO
57,3,36,4,3,9566,0,2,2,1,0,2,2,31,1,1,2,2,1,0,0,1,1,0.731058536,1,VERDADERO,VERDADERO
58,2,18,2,0,1961,0,4,3,1,0,2,2,23,2,1,1,3,1,0,0,1,1,0.731058587,1,VERDADERO,VERDADERO
59,0,36,4,2,6229,0,1,4,1,1,4,3,23,2,0,2,1,1,1,0,0,0,0.500000125,0,VERDADERO,VERDADERO
60,1,9,2,9,1391,0,2,2,3,0,1,0,27,0,1,1,2,1,1,0,1,1,0.683502745,1,VERDADERO,VERDADERO
61,1,15,4,3,1537,4,4,4,2,2,4,0,50,2,1,2,2,1,1,0,1,1,0.731058346,1,VERDADERO,VERDADERO
62,1,36,0,9,1953,0,4,4,2,0,4,3,61,2,2,1,3,1,1,0,0,0,0.500000212,0,VERDADERO,VERDADERO
63,1,48,0,9,14421,0,2,2,2,0,2,2,25,2,1,1,2,1,1,0,0,1,0.650935922,1,FALSO,FALSO
64,3,24,2,3,3181,0,1,4,1,0,4,1,26,2,1,1,2,1,1,0,1,1,0.731058487,1,VERDADERO,VERDADERO
65,3,27,2,5,5190,4,4,4,2,0,4,1,48,2,1,4,2,2,1,0,1,1,0.731058545,1,VERDADERO,VERDADERO
66,3,12,2,3,2171,0,1,2,1,0,2,2,29,0,1,1,2,1,0,0,1,1,0.731058548,1,VERDADERO,VERDADERO
67,1,12,2,0,1007,3,2,4,3,0,1,0,22,2,1,1,2,1,0,0,1,1,0.731058513,1,VERDADERO,VERDADERO
68,3,36,2,6,1819,0,2,4,2,0,4,3,37,1,2,1,2,1,1,0,0,0,0.500000281,0,VERDADERO,VERDADERO
69,3,36,2,3,2394,4,2,4,1,0,4,2,25,2,1,1,2,1,0,0,1,1,0.731058587,1,VERDADERO,VERDADERO
70,3,36,2,1,8133,0,2,1,1,0,2,1,30,0,1,1,2,1,0,0,1,1,0.73105844,1,VERDADERO,VERDADERO
71,3,7,4,3,730,4,4,4,2,0,2,1,46,2,0,2,1,1,1,0,1,1,0.731058493,1,VERDADERO,VERDADERO
72,0,8,4,10,1164,0,4,3,2,0,4,3,51,0,2,2,3,2,1,0,1,0,0.546670476,1,FALSO,VERDADERO
73,1,42,4,9,5954,0,3,2,1,0,1,0,41,0,1,2,1,1,0,0,1,1,0.73105859,1,VERDADERO,VERDADERO
74,0,36,2,6,1977,4,4,4,2,0,4,3,40,2,1,1,3,1,1,0,0,0,0.500000349,0,VERDADERO,VERDADERO
75,0,12,4,1,1526,0,4,4,2,0,4,3,66,2,2,2,3,1,0,0,1,1,0.731058613,1,VERDADERO,VERDADERO
76,0,42,2,3,3965,0,1,4,2,0,3,2,34,2,1,1,2,1,0,0,0,0,0.500000306,0,VERDADERO,VERDADERO
77,1,11,3,3,4771,0,3,2,2,0,4,1,51,2,1,1,2,1,0,0,1,1,0.731058555,1,VERDADERO,VERDADERO
78,3,54,0,1,9436,4,2,2,2,0,2,1,39,2,1,1,1,2,0,0,1,1,0.731058455,1,VERDADERO,VERDADERO
79,1,30,2,2,3832,0,1,2,3,0,1,1,22,2,1,1,2,1,0,0,1,1,0.731058494,1,VERDADERO,VERDADERO
80,3,24,2,3,5943,4,1,1,1,0,1,2,44,2,1,2,2,1,1,0,0,0,0.500000204,0,VERDADERO,VERDADERO
81,3,15,2,3,1213,2,4,4,2,0,3,1,47,1,1,1,2,1,1,0,1,1,0.696252762,1,VERDADERO,VERDADERO
82,3,18,2,9,1568,1,2,3,1,0,4,1,24,2,0,1,1,1,0,0,1,1,0.672446513,1,VERDADERO,VERDADERO
83,0,24,2,10,1755,0,4,4,1,2,4,0,58,2,1,1,1,1,1,0,1,1,0.731058498,1,VERDADERO,VERDADERO
84,0,10,2,3,2315,0,4,3,2,0,4,0,52,2,1,1,1,1,0,0,1,1,0.7310585,1,VERDADERO,VERDADERO
85,3,12,4,9,1412,0,2,4,1,2,2,0,29,2,1,2,3,1,1,0,1,1,0.731058505,1,VERDADERO,VERDADERO
86,1,18,4,2,1295,0,1,4,1,0,1,1,27,2,1,2,2,1,0,0,1,1,0.731058504,1,VERDADERO,VERDADERO
87,1,36,2,6,12612,1,2,1,2,0,4,3,47,2,2,1,2,2,1,0,0,1,0.717629881,1,FALSO,FALSO
88,0,18,2,0,2249,1,3,4,2,0,3,2,30,2,1,1,3,2,1,0,1,1,0.73105854,1,VERDADERO,VERDADERO
89,0,12,0,5,1108,0,3,4,2,0,3,0,28,2,1,2,2,1,0,0,0,0,0.500000308,0,VERDADERO,VERDADERO
90,3,12,4,3,618,0,4,4,2,0,4,0,56,2,1,1,2,1,0,0,1,1,0.731058552,1,VERDADERO,VERDADERO
91,0,12,4,1,1409,0,4,4,2,0,3,0,54,2,1,1,2,1,0,0,1,1,0.731058426,1,VERDADERO,VERDADERO
92,3,12,4,3,797,4,4,4,1,0,3,1,33,0,1,1,1,2,0,0,0,0,0.500000072,0,VERDADERO,VERDADERO
93,2,24,4,2,3617,4,4,4,2,1,4,3,20,2,0,2,2,1,0,0,1,1,0.731058482,1,VERDADERO,VERDADERO
94,1,12,2,0,1318,3,4,4,2,0,4,0,54,2,1,1,2,1,1,0,1,1,0.731058527,1,VERDADERO,VERDADERO
95,1,54,0,9,15945,0,1,3,2,0,4,3,58,2,0,1,2,1,1,0,0,1,0.672898624,1,FALSO,FALSO
96,3,12,4,6,2012,4,3,4,1,0,2,2,61,2,1,1,2,1,0,0,1,1,0.731058537,1,VERDADERO,VERDADERO
97,1,18,2,9,2622,1,2,4,2,0,4,2,34,2,1,1,2,1,0,0,1,0,0.611183333,1,FALSO,VERDADERO
98,1,36,4,3,2337,0,4,4,2,0,4,0,36,2,1,1,2,1,0,0,1,1,0.719127213,1,VERDADERO,VERDADERO
99,1,20,3,1,7057,4,3,3,2,0,4,1,36,0,0,2,3,2,1,0,1,1,0.731058523,1,VERDADERO,VERDADERO
100,3,24,2,0,1469,1,4,4,3,0,4,0,41,2,0,1,1,1,0,0,1,1,0.731058556,1,VERDADERO,VERDADERO
101,1,36,2,3,2323,0,3,4,2,0,4,2,24,2,0,1,2,1,0,0,1,1,0.731058645,1,VERDADERO,VERDADERO
102,3,6,3,3,932,0,2,3,1,0,2,0,24,2,1,1,2,1,0,0,1,1,0.731058521,1,VERDADERO,VERDADERO
103,1,9,4,2,1919,0,3,4,2,0,3,2,35,2,0,1,2,1,1,0,1,1,0.731058432,1,VERDADERO,VERDADERO
104,3,12,2,1,2445,4,1,2,3,0,4,2,26,2,0,1,2,1,1,0,1,1,0.731058487,1,VERDADERO,VERDADERO
105,1,24,4,10,11938,0,2,2,2,1,3,2,39,2,1,2,3,2,1,0,0,0,0.500000209,0,VERDADERO,VERDADERO
106,3,18,1,0,6458,0,4,2,2,0,4,3,39,0,1,2,3,2,1,0,0,0,0.500000232,0,VERDADERO,VERDADERO
107,1,12,2,0,6078,0,3,2,2,0,2,2,32,2,1,1,2,1,0,0,1,1,0.731058581,1,VERDADERO,VERDADERO
108,0,24,2,2,7721,4,1,1,1,0,2,1,30,2,1,1,2,1,1,1,1,1,0.731058565,1,VERDADERO,VERDADERO
109,1,14,2,9,1410,2,4,1,3,0,2,0,35,2,1,1,2,1,1,0,1,1,0.731058536,1,VERDADERO,VERDADERO
110,1,6,3,9,1449,1,4,1,0,0,2,2,31,0,1,2,2,2,0,0,1,1,0.73105856,1,VERDADERO,VERDADERO
111,2,15,2,6,392,0,1,4,1,0,4,1,23,2,0,1,2,1,1,0,1,1,0.731058493,1,VERDADERO,VERDADERO
112,1,18,2,0,6260,0,3,3,2,0,3,0,28,2,0,1,1,1,0,0,1,1,0.73105859,1,VERDADERO,VERDADERO
113,3,36,4,0,7855,0,2,4,1,0,2,0,25,1,1,2,2,1,1,0,0,0,0.500000127,0,VERDADERO,VERDADERO
114,0,12,2,3,1680,2,4,3,3,0,1,0,35,2,1,1,2,1,0,0,1,1,0.685190471,1,VERDADERO,VERDADERO
115,3,48,4,3,3578,4,4,4,2,0,1,0,47,2,1,1,2,1,1,0,1,1,0.731058519,1,VERDADERO,VERDADERO
116,0,42,2,3,7174,4,3,4,1,0,3,2,30,2,1,1,3,1,1,0,0,0,0.500000146,0,VERDADERO,VERDADERO
117,0,10,4,2,2132,4,1,2,1,1,3,0,27,2,0,2,2,1,0,1,1,1,0.731058592,1,VERDADERO,VERDADERO
118,0,33,4,2,4281,2,2,1,1,0,4,2,23,2,1,2,2,1,0,0,0,1,0.640979378,1,FALSO,FALSO
119,1,12,4,0,2366,2,3,3,0,0,3,2,36,2,1,1,3,1,1,0,1,1,0.719339311,1,VERDADERO,VERDADERO
120,0,21,2,3,1835,0,2,3,1,0,2,0,25,2,1,2,2,1,1,0,0,1,0.693613766,1,FALSO,FALSO
121,3,24,4,1,3868,0,4,4,1,0,2,2,41,2,0,2,3,1,1,0,1,1,0.731058512,1,VERDADERO,VERDADERO
122,3,12,2,2,1768,0,2,3,2,0,2,0,24,2,0,1,1,1,0,0,1,1,0.731058481,1,VERDADERO,VERDADERO
123,2,10,4,0,781,0,4,4,2,0,4,3,63,2,2,2,2,1,1,0,1,1,0.731058536,1,VERDADERO,VERDADERO
124,1,18,2,2,1924,4,1,4,1,0,3,0,27,2,0,1,2,1,0,0,0,0,0.500000262,0,VERDADERO,VERDADERO
125,0,12,4,0,2121,0,2,4,2,0,2,1,30,2,1,2,2,1,0,0,1,1,0.731058539,1,VERDADERO,VERDADERO
126,0,12,2,3,701,0,2,4,3,0,2,0,40,2,1,1,1,1,0,0,1,1,0.731058578,1,VERDADERO,VERDADERO
127,1,12,2,5,639,0,2,4,2,0,2,2,30,2,1,1,2,1,0,0,0,0,0.500000287,0,VERDADERO,VERDADERO
128,1,12,4,1,1860,0,0,4,2,0,2,2,34,2,1,2,3,1,1,0,1,1,0.731058535,1,VERDADERO,VERDADERO
129,0,12,4,0,3499,0,2,3,1,1,2,0,29,2,1,2,2,1,0,0,0,0,0.500000185,0,VERDADERO,VERDADERO
130,1,48,2,0,8487,4,3,1,1,0,2,2,24,2,1,1,2,1,0,0,1,1,0.731058397,1,VERDADERO,VERDADERO
131,0,36,3,6,6887,0,2,4,2,0,3,1,29,1,1,1,2,1,1,0,0,0,0.500000257,0,VERDADERO,VERDADERO
132,3,15,2,2,2708,0,1,2,2,0,3,1,27,0,1,2,1,1,0,0,1,1,0.731058529,1,VERDADERO,VERDADERO
133,3,18,2,2,1984,0,2,4,2,0,4,3,47,0,2,2,2,1,0,0,1,1,0.754294276,1,VERDADERO,VERDADERO
134,3,60,2,3,10144,1,3,2,1,0,4,0,21,2,1,1,2,1,1,0,1,1,0.731058547,1,VERDADERO,VERDADERO
135,3,12,4,3,1240,4,4,4,1,0,2,0,38,2,1,2,2,1,1,0,1,0,0.545901272,1,FALSO,VERDADERO
136,3,27,3,1,8613,3,2,2,2,0,2,2,27,2,1,2,2,1,0,0,1,1,0.707583915,1,VERDADERO,VERDADERO
137,1,12,2,3,766,2,2,4,2,0,3,0,66,2,1,1,1,1,0,0,0,0,0.500000293,0,VERDADERO,VERDADERO
138,1,15,4,3,2728,4,3,4,2,2,2,0,35,0,1,3,2,1,1,0,1,1,0.674628458,1,VERDADERO,VERDADERO
139,2,12,2,3,1881,0,2,2,1,0,2,2,44,2,0,1,1,1,1,0,1,1,0.731058416,1,VERDADERO,VERDADERO
140,2,6,2,0,709,3,1,2,3,0,2,0,27,2,1,1,0,1,0,1,1,1,0.731058524,1,VERDADERO,VERDADERO
141,1,36,2,3,4795,0,1,4,1,0,1,3,30,2,1,1,3,1,1,0,1,1,0.693885255,1,VERDADERO,VERDADERO
142,0,27,2,3,3416,0,2,3,2,0,2,2,27,2,1,1,3,1,0,0,1,1,0.73105852,1,VERDADERO,VERDADERO
143,0,18,2,2,2462,0,2,2,2,0,2,2,22,2,1,1,2,1,0,0,0,0,0.500000227,0,VERDADERO,VERDADERO
144,3,21,4,2,2288,0,1,4,1,0,4,1,23,2,1,1,2,1,1,0,1,1,0.731058557,1,VERDADERO,VERDADERO
145,1,48,1,9,3566,1,3,4,2,0,2,2,30,2,1,1,2,1,0,0,1,1,0.731058592,1,VERDADERO,VERDADERO
146,0,6,4,0,860,0,4,1,1,0,4,3,39,2,1,2,2,1,1,0,1,1,0.731058539,1,VERDADERO,VERDADERO
147,3,12,4,0,682,1,3,4,1,0,3,2,51,2,1,2,2,1,1,0,1,1,0.731058506,1,VERDADERO,VERDADERO
148,0,36,4,2,5371,0,2,3,2,2,2,1,28,2,1,2,2,1,0,0,1,1,0.799435717,1,VERDADERO,VERDADERO
149,3,18,4,3,1582,3,4,4,2,0,4,2,46,2,1,2,2,1,0,0,1,1,0.731058575,1,VERDADERO,VERDADERO
150,3,6,2,3,1346,1,4,2,2,0,4,3,42,0,2,1,2,2,1,0,1,1,0.731058482,1,VERDADERO,VERDADERO
151,3,10,2,3,1924,0,2,1,2,0,4,1,38,2,1,1,2,1,1,1,1,1,0.631838825,1,VERDADERO,VERDADERO
152,2,36,2,3,5848,0,2,4,2,0,1,2,24,2,1,1,2,1,0,0,1,1,0.733928926,1,VERDADERO,VERDADERO
153,1,24,4,1,7758,3,4,2,1,0,4,3,29,2,0,1,2,1,0,0,1,1,0.795443953,1,VERDADERO,VERDADERO
154,1,24,3,9,6967,1,3,4,2,0,4,2,36,2,0,1,3,1,1,0,1,1,0.731058527,1,VERDADERO,VERDADERO
155,0,12,2,2,1282,0,2,2,1,0,4,2,20,2,0,1,2,1,0,0,0,0,0.500000385,0,VERDADERO,VERDADERO
156,0,9,4,5,1288,1,4,3,2,2,4,0,48,2,1,2,2,2,0,1,1,1,0.731058565,1,VERDADERO,VERDADERO
157,0,12,1,8,339,0,4,4,3,0,1,2,45,0,1,1,1,1,0,0,1,1,0.731058448,1,VERDADERO,VERDADERO
158,1,24,2,0,3512,1,3,2,2,0,3,2,38,0,1,2,2,1,1,0,1,1,0.676174022,1,VERDADERO,VERDADERO
159,3,6,4,3,1898,4,2,1,2,0,2,0,34,2,1,2,1,2,0,0,1,1,0.73105851,1,VERDADERO,VERDADERO
160,3,24,4,3,2872,1,4,3,2,0,4,0,36,2,1,1,2,2,1,0,1,1,0.731058498,1,VERDADERO,VERDADERO
161,3,18,4,0,1055,0,1,4,1,0,1,1,30,2,1,2,2,1,0,0,1,1,0.731058571,1,VERDADERO,VERDADERO
162,3,15,2,4,1262,2,3,4,2,0,3,1,36,2,1,2,2,1,1,0,1,1,0.731058449,1,VERDADERO,VERDADERO
163,1,10,2,0,7308,0,0,2,2,0,4,3,70,0,2,1,3,1,1,0,1,1,0.731058506,1,VERDADERO,VERDADERO
164,3,36,2,0,909,2,4,4,2,0,4,1,36,2,1,1,2,1,0,0,1,1,0.731058443,1,VERDADERO,VERDADERO
165,3,6,2,2,2978,2,2,1,2,0,2,2,32,2,1,1,2,1,1,0,1,1,0.731058531,1,VERDADERO,VERDADERO
